,Date,year,Month,Weak,Count
7436,2014-12-01,2014,12,Monday,18
11929,2014-12-01,2014,12,Monday,18
1129,2014-12-01,2014,12,Monday,18
15267,2014-12-01,2014,12,Monday,18
18014,2014-12-01,2014,12,Monday,18
7868,2014-12-01,2014,12,Monday,18
2327,2014-12-01,2014,12,Monday,18
28680,2014-12-01,2014,12,Monday,18
27005,2014-12-01,2014,12,Monday,18
14392,2014-12-01,2014,12,Monday,18
27465,2014-12-01,2014,12,Monday,18
22602,2014-12-01,2014,12,Monday,18
29737,2014-12-01,2014,12,Monday,18
23390,2014-12-02,2014,12,Tuesday,8
2713,2014-12-02,2014,12,Tuesday,8
12109,2014-12-02,2014,12,Tuesday,8
20336,2014-12-02,2014,12,Tuesday,8
23116,2014-12-02,2014,12,Tuesday,8
27979,2014-12-02,2014,12,Tuesday,8
9541,2014-12-02,2014,12,Tuesday,8
16559,2014-12-02,2014,12,Tuesday,8
18686,2014-12-03,2014,12,Wednesday,8
13703,2014-12-03,2014,12,Wednesday,8
20591,2014-12-03,2014,12,Wednesday,8
1072,2014-12-03,2014,12,Wednesday,8
16416,2014-12-03,2014,12,Wednesday,8
3022,2014-12-03,2014,12,Wednesday,8
23188,2014-12-03,2014,12,Wednesday,8
18283,2014-12-03,2014,12,Wednesday,8
8199,2014-12-04,2014,12,Thursday,9
29576,2014-12-04,2014,12,Thursday,9
8616,2014-12-04,2014,12,Thursday,9
25839,2014-12-04,2014,12,Thursday,9
27443,2014-12-04,2014,12,Thursday,9
1037,2014-12-04,2014,12,Thursday,9
28597,2014-12-04,2014,12,Thursday,9
1442,2014-12-04,2014,12,Thursday,9
7755,2014-12-04,2014,12,Thursday,9
18270,2014-12-05,2014,12,Friday,13
27080,2014-12-05,2014,12,Friday,13
20526,2014-12-05,2014,12,Friday,13
9466,2014-12-05,2014,12,Friday,13
25969,2014-12-05,2014,12,Friday,13
11399,2014-12-05,2014,12,Friday,13
27093,2014-12-05,2014,12,Friday,13
30330,2014-12-05,2014,12,Friday,13
1051,2014-12-05,2014,12,Friday,13
3867,2014-12-05,2014,12,Friday,13
30523,2014-12-05,2014,12,Friday,13
20341,2014-12-05,2014,12,Friday,13
19045,2014-12-05,2014,12,Friday,13
8612,2014-12-06,2014,12,Saturday,20
22335,2014-12-06,2014,12,Saturday,20
21070,2014-12-06,2014,12,Saturday,20
17163,2014-12-06,2014,12,Saturday,20
23308,2014-12-06,2014,12,Saturday,20
24410,2014-12-06,2014,12,Saturday,20
1619,2014-12-06,2014,12,Saturday,20
22494,2014-12-06,2014,12,Saturday,20
12697,2014-12-06,2014,12,Saturday,20
14934,2014-12-06,2014,12,Saturday,20
20040,2014-12-06,2014,12,Saturday,20
12215,2014-12-06,2014,12,Saturday,20
1287,2014-12-06,2014,12,Saturday,20
29772,2014-12-06,2014,12,Saturday,20
23398,2014-12-06,2014,12,Saturday,20
25125,2014-12-06,2014,12,Saturday,20
4709,2014-12-06,2014,12,Saturday,20
1085,2014-12-06,2014,12,Saturday,20
12147,2014-12-06,2014,12,Saturday,20
25222,2014-12-06,2014,12,Saturday,20
26089,2014-12-07,2014,12,Sunday,10
579,2014-12-07,2014,12,Sunday,10
15424,2014-12-07,2014,12,Sunday,10
14428,2014-12-07,2014,12,Sunday,10
28068,2014-12-07,2014,12,Sunday,10
31135,2014-12-07,2014,12,Sunday,10
26048,2014-12-07,2014,12,Sunday,10
6388,2014-12-07,2014,12,Sunday,10
1634,2014-12-07,2014,12,Sunday,10
14128,2014-12-07,2014,12,Sunday,10
13351,2014-12-08,2014,12,Monday,7
27323,2014-12-08,2014,12,Monday,7
20284,2014-12-08,2014,12,Monday,7
1155,2014-12-08,2014,12,Monday,7
15560,2014-12-08,2014,12,Monday,7
26967,2014-12-08,2014,12,Monday,7
11891,2014-12-08,2014,12,Monday,7
7049,2014-12-09,2014,12,Tuesday,8
15014,2014-12-09,2014,12,Tuesday,8
31121,2014-12-09,2014,12,Tuesday,8
1614,2014-12-09,2014,12,Tuesday,8
13481,2014-12-09,2014,12,Tuesday,8
15389,2014-12-09,2014,12,Tuesday,8
13677,2014-12-09,2014,12,Tuesday,8
23038,2014-12-09,2014,12,Tuesday,8
26801,2014-12-10,2014,12,Wednesday,9
29242,2014-12-10,2014,12,Wednesday,9
27843,2014-12-10,2014,12,Wednesday,9
26115,2014-12-10,2014,12,Wednesday,9
738,2014-12-10,2014,12,Wednesday,9
16471,2014-12-10,2014,12,Wednesday,9
19431,2014-12-10,2014,12,Wednesday,9
28400,2014-12-10,2014,12,Wednesday,9
12402,2014-12-10,2014,12,Wednesday,9
23536,2014-12-11,2014,12,Thursday,4
21550,2014-12-11,2014,12,Thursday,4
23340,2014-12-11,2014,12,Thursday,4
30909,2014-12-11,2014,12,Thursday,4
28058,2014-12-12,2014,12,Friday,5
14635,2014-12-12,2014,12,Friday,5
5600,2014-12-12,2014,12,Friday,5
10960,2014-12-12,2014,12,Friday,5
21985,2014-12-12,2014,12,Friday,5
16869,2014-12-13,2014,12,Saturday,14
15230,2014-12-13,2014,12,Saturday,14
27191,2014-12-13,2014,12,Saturday,14
